FID,ASA,CTEXP,eTH,eU,KPERC,MAGIGRF,MDT,ThetaMap,THKRAZAO,UKRAZAO,UTHRAZAO,X,Y,Cod_Litho,Geologia_R,INDICELATE
33042,0.004199602,11.147,30.3344,1.6751,0.8955,-0.81,895.144,0.268899487,41.6162,2.9727,0.0712,324784.3,7949764.6,2,Depósitos detríticos indiferenciados,1.5550158914290282
33043,0.004213692,11.156,30.2326,1.6564,0.929,-0.811,894.916,0.269783291,42.6478,3.0678,0.0718,324784.2,7949772.4,2,Depósitos detríticos indiferenciados,1.5535638494580828
33044,0.004227782,11.165,30.1308,1.6377,0.9625,-0.812,894.688,0.270658417,43.6794,3.1629,0.0724,324784.1,7949780.2,2,Depósitos detríticos indiferenciados,1.5520245471210614
33045,0.004234828,11.174,30.029,1.619,0.996,-0.811,894.46,0.271092769,44.711,3.258,0.073,324784.0,7949788.0,2,Depósitos detríticos indiferenciados,1.5503944229808415
33046,0.004263008,11.1044,29.8253,1.7552,0.9295,-0.801,894.321,0.272809177,45.9041,3.3703,0.0734,324783.9,7949795.8,2,Depósitos detríticos indiferenciados,1.5542938955920533
33047,0.004316385,11.0348,29.6216,1.8914,0.863,-0.803,894.182,0.338716022,47.0972,3.4826,0.0738,324783.8,7949803.6,2,Depósitos detríticos indiferenciados,1.557503904985602
33048,0.004409793,10.9652,29.4179,2.0276,0.7965,-0.806,894.043,0.428415803,48.2903,3.5949,0.0742,324783.7,7949811.4,2,Depósitos detríticos indiferenciados,1.5601607454205013
33049,0.00446317,10.8956,29.2142,2.1638,0.73,-0.801,893.904,0.471076602,49.4834,3.7072,0.0746,324783.6,7949819.2,2,Depósitos detríticos indiferenciados,1.5623663900091878
33050,0.004623299,10.826,29.0105,2.3,0.6635,-0.771,893.765,0.577161308,50.6765,3.8195,0.075,324783.5,7949827.0,2,Depósitos detríticos indiferenciados,1.5641986277269373
33051,0.004809968,10.7564,28.8068,2.4362,0.597,-0.755,893.626,0.657145048,51.8696,3.9318,0.0754,324783.4,7949834.8,2,Depósitos detríticos indiferenciados,1.5657178090730695
33052,0.004863162,10.6868,28.6031,2.5724,0.5305,-0.756,893.487,0.682223684,53.0627,4.0441,0.0758,324783.3,7949842.6,2,Depósitos detríticos indiferenciados,1.5669714534980648
33053,0.004969551,10.6172,28.3994,2.7086,0.464,-0.769,893.348,0.728703166,54.2558,4.1564,0.0762,324783.2,7949850.4,2,Depósitos detríticos indiferenciados,1.5679974692902945
33054,0.005009446,10.5476,28.1957,2.8448,0.3975,-0.778,893.209,0.745028849,55.4489,4.2687,0.0766,324783.1,7949858.2,2,Depósitos detríticos indiferenciados,1.5688264499109303
33055,0.005222223,10.478,27.992,2.981,0.331,-0.835,893.07,0.823863698,56.642,4.381,0.077,324783.0,7949866.0,2,Depósitos detríticos indiferenciados,1.5694833415896363
33056,0.005275418,10.728,28.4721,3.0219,0.3878,-0.858,892.794,0.841729887,57.9028,4.4985,0.0773,324782.9,7949873.8,2,Depósitos detríticos indiferenciados,1.5690484308363228
33057,0.005381806,10.978,28.9522,3.0628,0.4446,-0.918,892.518,0.875617855,59.1636,4.616,0.0776,324782.8,7949881.6,2,Depósitos detríticos indiferenciados,1.5685671834904829
33058,0.005488195,11.228,29.4323,3.1037,0.5014,-0.985,892.242,0.90731186,60.4244,4.7335,0.0779,324782.7,7949889.4,2,Depósitos detríticos indiferenciados,1.5680442305040088
33059,0.005581285,11.478,29.9124,3.1446,0.5582,-1.036,891.966,0.933453136,61.6852,4.851,0.0782,324782.6,7949897.2,2,Depósitos detríticos indiferenciados,1.5674837846991916
33060,0.005732448,11.728,30.3925,3.1855,0.615,-1.078,891.69,0.948321126,62.946,4.9685,0.0785,324782.5,7949905.0,2,Depósitos detríticos indiferenciados,1.5668896814436595
33061,0.005810231,11.978,30.8726,3.2264,0.6718,-1.105,891.414,0.957858706,64.2068,5.086,0.0788,324782.4,7949912.8,2,Depósitos detríticos indiferenciados,1.5662654149541946
33062,0.005849123,12.228,31.3527,3.2673,0.7286,-1.122,891.138,0.962509038,65.4676,5.2035,0.0791,324782.3,7949920.6,2,Depósitos detríticos indiferenciados,1.5656141707477564
33063,0.005926905,12.478,31.8328,3.3082,0.7854,-1.159,890.862,0.971583272,66.7284,5.321,0.0794,324782.2,7949928.4,2,Depósitos detríticos indiferenciados,1.564938854690723
33064,0.005956074,12.728,32.3129,3.3491,0.8422,-1.175,890.586,0.974910831,67.9892,5.4385,0.0797,324782.1,7949936.2,2,Depósitos detríticos indiferenciados,1.5642421190395555
33065,0.006111639,12.978,32.793,3.39,0.899,-1.217,890.31,0.992003701,69.25,5.556,0.08,324782.0,7949944.0,2,Depósitos detríticos indiferenciados,1.5635263858163049
33066,0.006150531,12.7409,32.4488,3.2979,0.8471,-1.224,889.96,0.996112999,70.4818,5.6639,0.0801,324781.9,7949951.8,2,Depósitos detríticos indiferenciados,1.5640908952832169
33067,0.006228313,12.5038,32.1046,3.2058,0.7952,-1.247,889.61,1.004146076,71.7136,5.7718,0.0802,324781.8,7949959.6,2,Depósitos detríticos indiferenciados,1.564652434547324
33068,0.006296373,12.2667,31.7604,3.1137,0.7433,-1.273,889.26,1.010979783,72.9454,5.8797,0.0803,324781.7,7949967.4,2,Depósitos detríticos indiferenciados,1.5652095539046136
33069,0.006371304,12.0296,31.4162,3.0216,0.6914,-1.286,888.91,1.013155711,74.1772,5.9876,0.0804,324781.6,7949975.2,2,Depósitos detríticos indiferenciados,1.565760573396899
33070,0.006483719,11.7925,31.072,2.9295,0.6395,-1.286,888.56,1.02441142,75.409,6.0955,0.0805,324781.5,7949983.0,2,Depósitos detríticos indiferenciados,1.5663035435658768
33071,0.006558663,11.5554,30.7278,2.8374,0.5876,-1.281,888.21,1.031659853,76.6408,6.2034,0.0806,324781.4,7949990.8,2,Depósitos detríticos indiferenciados,1.5668361983518126
33072,0.006596135,11.3183,30.3836,2.7453,0.5357,-1.279,887.86,1.035210783,77.8726,6.3113,0.0807,324781.3,7949998.6,2,Depósitos detríticos indiferenciados,1.567355898274542
33073,0.006890817,11.0812,30.0394,2.6532,0.4838,-1.273,887.51,1.016182976,79.1044,6.4192,0.0808,324781.2,7950006.4,2,Depósitos detríticos indiferenciados,1.5678595615155875
33074,0.007271235,10.8441,29.6952,2.5611,0.4319,-1.272,887.16,0.991734503,80.3362,6.5271,0.0809,324781.1,7950014.2,2,Depósitos detríticos indiferenciados,1.568343579833174
33075,0.007841862,10.607,29.351,2.469,0.38,-1.287,886.81,0.95889666,81.568,6.635,0.081,324781.0,7950022.0,2,Depósitos detríticos indiferenciados,1.56880371532402
33076,0.008174728,10.7269,29.8881,2.4608,0.3608,-1.318,886.553,0.941558784,82.7285,6.7222,0.081,324780.9,7950029.7,2,Depósitos detríticos indiferenciados,1.5690263891006544
33077,0.008364937,10.8468,30.4252,2.4526,0.3416,-1.342,886.296,0.932180659,83.889,6.8094,0.081,324780.8,7950037.4,2,Depósitos detríticos indiferenciados,1.5692325484154326
33078,0.008528248,10.9667,30.9623,2.4444,0.3224,-1.367,886.039,0.921493483,85.0495,6.8966,0.081,324780.7,7950045.1,2,Depósitos detríticos indiferenciados,1.5694229670802948
33079,0.009094434,11.0866,31.4994,2.4362,0.3032,-1.418,885.782,0.897064689,86.21,6.9838,0.081,324780.6,7950052.8,2,Depósitos detríticos indiferenciados,1.5695983650054854
33080,0.009283163,11.2065,32.0365,2.428,0.284,-1.425,885.525,0.889488766,87.3705,7.071,0.081,324780.5,7950060.5,2,Depósitos detríticos indiferenciados,1.5697594126977485
33081,0.009990896,11.3264,32.5736,2.4198,0.2648,-1.46,885.268,0.863267279,88.531,7.1582,0.081,324780.4,7950068.2,2,Depósitos detríticos indiferenciados,1.5699067353133367
33082,0.010179624,11.4463,33.1107,2.4116,0.2456,-1.48,885.011,0.856801977,89.6915,7.2454,0.081,324780.3,7950075.9,2,Depósitos detríticos indiferenciados,1.570040916316342
33083,0.010557082,11.5662,33.6478,2.4034,0.2264,-1.53,884.754,0.844464404,90.852,7.3326,0.081,324780.2,7950083.6,2,Depósitos detríticos indiferenciados,1.570162500786417
33084,0.010934539,11.6861,34.1849,2.3952,0.2072,-1.583,884.497,0.832855846,92.0125,7.4198,0.081,324780.1,7950091.3,2,Depósitos detríticos indiferenciados,1.570271998414416
33085,0.011366391,11.806,34.722,2.387,0.188,-1.67,884.24,0.815305346,93.173,7.507,0.081,324780.0,7950099.0,2,Depósitos detríticos indiferenciados,1.5703698862197208
33086,0.01146615,11.5973,34.1558,2.3235,0.1848,-1.752,884.061,0.798966069,94.2755,7.5686,0.0807,324779.9,7950106.8,2,Depósitos detríticos indiferenciados,1.5703660016057919
33087,0.011539927,11.3886,33.5896,2.26,0.1816,-1.806,883.882,0.79024883,95.378,7.6302,0.0804,324779.8,7950114.6,2,Depósitos detríticos indiferenciados,1.5703618982137926
33088,0.011669037,11.1799,33.0234,2.1965,0.1784,-1.928,883.703,0.775079868,96.4805,7.6918,0.0801,324779.7,7950122.4,2,Depósitos detríticos indiferenciados,1.570357557043763
33089,0.011816592,10.9712,32.4572,2.133,0.1752,-2.046,883.524,0.757867299,97.583,7.7534,0.0798,324779.6,7950130.2,2,Depósitos detríticos indiferenciados,1.5703529568313674
33090,0.012037923,10.7625,31.891,2.0695,0.172,-2.194,883.345,0.732264176,98.6855,7.815,0.0795,324779.5,7950138.0,2,Depósitos detríticos indiferenciados,1.5703480737003315
33091,0.012111701,10.5538,31.3248,2.006,0.1688,-2.242,883.166,0.723779961,99.788,7.8766,0.0792,324779.4,7950145.8,2,Depósitos detríticos indiferenciados,1.570342880748842
33092,0.012240811,10.3451,30.7586,1.9425,0.1656,-2.343,882.987,0.708984379,100.8905,7.9382,0.0789,324779.3,7950153.6,2,Depósitos detríticos indiferenciados,1.5703373475548073
33093,0.012388365,10.1364,30.1924,1.879,0.1624,-2.456,882.808,0.692144707,101.993,7.9998,0.0786,324779.2,7950161.4,2,Depósitos detríticos indiferenciados,1.5703314395807697
33094,0.012462142,9.9277,29.6262,1.8155,0.1592,-2.515,882.629,0.683748177,103.0955,8.0614,0.0783,324779.1,7950169.2,2,Depósitos detríticos indiferenciados,1.5703251174539077
33095,0.012738807,9.719,29.06,1.752,0.156,-2.748,882.45,0.652360383,104.198,8.123,0.078,324779.0,7950177.0,2,Depósitos detríticos indiferenciados,1.570318336089424
33096,0.012886361,9.6762,28.909,1.7223,0.1692,-2.862,882.264,0.635658059,105.2469,8.1574,0.0776,324779.0,7950184.7,2,Depósitos detríticos indiferenciados,1.5702213387713544
